name,neu,fc,conv,idm,ids,eps,prop,relative_loss,eran_deepzono_answer,eran_deepzono_time,eran_deeppoly_answer,eran_deeppoly_time,eran_refinezono_answer,eran_refinezono_time,eran_refinepoly_answer,eran_refinepoly_time,neurify_answer,neurify_time,planet_answer,planet_time,bab_answer,bab_time,bab_sb_answer,bab_sb_time,reluplex_answer,reluplex_time
dave_enu2_cov3_low3_pl2.20210_0.173,0.15,0.0,0.4,0.4,0.2,0.2,3,0.0426,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,112.67,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.20222_0.196,0.15,0.0,0.4,0.6,0.6,0.2,4,0.0607,unsat,31.55,unsat,8.72,unsat,81.9,unsat,63.47,unsat,369.49,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.21000_243.144,0.15,0.25,0.0,0.2,0.2,0.4,3,0.1135,unknown,14400,unknown,14400,timeout,14400,memout,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3_pl2.21020_243.144,0.15,0.25,0.0,0.6,0.2,0.6,3,0.2189,timeout,14400,unknown,14400,timeout,14400,memout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3_pl2.21102_0.104,0.15,0.25,0.2,0.2,0.6,0.4,3,0.0121,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,error,14400,unsup,14400
dave_enu2_cov3_low3_pl2.21121_0.034,0.15,0.25,0.2,0.6,0.4,0.2,4,0.0625,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,66.37,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.21212_0.131,0.15,0.25,0.4,0.4,0.6,0.6,4,0.011,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.22011_9.803,0.15,0.5,0.0,0.4,0.4,0.4,4,0.0092,timeout,14400,unknown,14400,timeout,14400,memout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3_pl2.22012_10.206,0.15,0.5,0.0,0.4,0.6,0.6,4,0.0095,timeout,14400,unknown,14400,timeout,14400,memout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3_pl2.22021_9.803,0.15,0.5,0.0,0.6,0.4,0.6,4,0.0078,timeout,14400,unknown,14400,timeout,14400,memout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3_pl2.22022_9.803,0.15,0.5,0.0,0.6,0.6,0.2,3,0.0125,timeout,14400,unsat,6010.38,timeout,14400,memout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3_pl2.22100_0.583,0.15,0.5,0.2,0.2,0.2,0.2,4,0.0097,unknown,14400,unknown,14400,unknown,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.22121_0.034,0.15,0.5,0.2,0.6,0.4,0.4,3,0.0379,unknown,14400,unknown,14400,unknown,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.22221_0.086,0.15,0.5,0.4,0.6,0.4,0.2,4,0.0616,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.22222_0.096,0.15,0.5,0.4,0.6,0.6,0.4,3,0.0158,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
