name,neu,fc,conv,idm,ids,eps,prop,relative_loss,eran_deepzono_answer,eran_deepzono_time,eran_deeppoly_answer,eran_deeppoly_time,eran_refinezono_answer,eran_refinezono_time,eran_refinepoly_answer,eran_refinepoly_time,neurify_answer,neurify_time,planet_answer,planet_time,bab_answer,bab_time,bab_sb_answer,bab_sb_time,reluplex_answer,reluplex_time
dave_2x2_enu2_cov3_low3.11202_0.449,0.1,0.75,0.8,0.2,0.6,0.6,0,0.0248,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.11212_0.197,0.1,0.75,0.8,0.4,0.6,0.6,1,0.0233,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.12002_0.181,0.1,1.0,0.4,0.2,0.6,0.2,2,0.0769,unsat,435.12,unsat,44.76,memout,14400,unsat,899.31,unsat,62.78,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.12022_0.073,0.1,1.0,0.4,0.6,0.6,0.6,0,0.0933,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.12100_0.437,0.1,1.0,0.6000000000000001,0.2,0.2,0.6,1,0.0127,unknown,14400,unknown,14400,error,14400,unknown,14400,sat,97.15,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.12111_0.167,0.1,1.0,0.6000000000000001,0.4,0.4,0.2,2,0.0184,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.12121_0.140,0.1,1.0,0.6000000000000001,0.6,0.4,0.4,2,0.062,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.12201_0.403,0.1,1.0,0.8,0.2,0.4,0.4,2,0.0214,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.20021_0.286,0.15,0.5,0.4,0.6,0.4,0.2,0,0.0288,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,297.95,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.20110_0.321,0.15,0.5,0.6000000000000001,0.4,0.2,0.6,1,0.0092,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,231.71,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.20112_0.411,0.15,0.5,0.6000000000000001,0.4,0.6,0.6,0,0.0165,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.20201_0.877,0.15,0.5,0.8,0.2,0.4,0.6,1,0.0168,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.20212_0.283,0.15,0.5,0.8,0.4,0.6,0.4,0,0.0213,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.20212_0.404,0.15,0.5,0.8,0.4,0.6,0.6,2,0.0242,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.21001_0.787,0.15,0.75,0.4,0.2,0.4,0.4,0,0.0054,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.21010_0.297,0.15,0.75,0.4,0.4,0.2,0.2,0,0.0156,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.21020_0.085,0.15,0.75,0.4,0.6,0.2,0.6,2,0.0191,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.21101_0.215,0.15,0.75,0.6000000000000001,0.2,0.4,0.2,1,0.0295,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.21122_0.058,0.15,0.75,0.6000000000000001,0.6,0.6,0.4,2,0.038,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
