name,neu,fc,conv,idm,ids,eps,prop,relative_loss,eran_deepzono_answer,eran_deepzono_time,eran_deeppoly_answer,eran_deeppoly_time,eran_refinezono_answer,eran_refinezono_time,eran_refinepoly_answer,eran_refinepoly_time,neurify_answer,neurify_time,planet_answer,planet_time,bab_answer,bab_time,bab_sb_answer,bab_sb_time,reluplex_answer,reluplex_time
dave_2x2_enu.00323_0.069,0.04,0.5,1.0,0.6000000000000001,0.8,0.8,3,0.975782,unsat,14.5379,unsat,14.7363,unsat,248.7497,unsat,237.8822,unsat,83.2093,timeout,14400,unsat,5808.8434,unsat,5906.4338,unsup,14400
dave_2x2_enu.00323_0.069,0.04,0.5,1.0,0.6000000000000001,0.8,0.8,3,0.975782,unsat,14.5379,unsat,14.7363,unsat,248.7497,unsat,237.8822,unsat,83.2093,timeout,14400,unsat,5808.8434,unsat,5906.4338,unsup,14400
dave_2x2_enu.00323_0.069,0.04,0.5,1.0,0.6000000000000001,0.8,0.8,3,0.975782,unsat,14.5379,unsat,14.7363,unsat,248.7497,unsat,237.8822,unsat,83.2093,timeout,14400,unsat,5808.8434,unsat,5906.4338,unsup,14400
dave_2x2_enu.00323_0.069,0.04,0.5,1.0,0.6000000000000001,0.8,0.8,3,0.975782,unsat,14.5379,unsat,14.7363,unsat,248.7497,unsat,237.8822,unsat,83.2093,timeout,14400,unsat,5808.8434,unsat,5906.4338,unsup,14400
dave_2x2_enu.00323_0.069,0.04,0.5,1.0,0.6000000000000001,0.8,0.8,3,0.975782,unsat,14.5379,unsat,14.7363,unsat,248.7497,unsat,237.8822,unsat,83.2093,timeout,14400,unsat,5808.8434,unsat,5906.4338,unsup,14400
dave_2x2_enu.00323_0.069,0.04,0.5,1.0,0.6000000000000001,0.8,0.8,3,0.975782,unsat,14.5379,unsat,14.7363,unsat,248.7497,unsat,237.8822,unsat,83.2093,timeout,14400,unsat,5808.8434,unsat,5906.4338,unsup,14400
dave_2x2_enu.00323_0.069,0.04,0.5,1.0,0.6000000000000001,0.8,0.8,3,0.975782,unsat,14.5379,unsat,14.7363,unsat,248.7497,unsat,237.8822,unsat,83.2093,timeout,14400,unsat,5808.8434,unsat,5906.4338,unsup,14400
dave_2x2_enu.00323_0.069,0.04,0.5,1.0,0.6000000000000001,0.8,0.8,3,0.975782,unsat,14.5379,unsat,14.7363,unsat,248.7497,unsat,237.8822,unsat,83.2093,timeout,14400,unsat,5808.8434,unsat,5906.4338,unsup,14400
dave_2x2_enu.00323_0.069,0.04,0.5,1.0,0.6000000000000001,0.8,0.8,3,0.975782,unsat,14.5379,unsat,14.7363,unsat,248.7497,unsat,237.8822,unsat,83.2093,timeout,14400,unsat,5808.8434,unsat,5906.4338,unsup,14400
dave_2x2_enu.01034_0.038,0.04,0.75,0.4,0.8,1.0,1.0,4,0.050585,unknown,14400,unknown,14400,unknown,14400,unknown,14400,timeout,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu.01034_0.038,0.04,0.75,0.4,0.8,1.0,1.0,4,0.050585,unknown,14400,unknown,14400,unknown,14400,unknown,14400,timeout,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu.01034_0.038,0.04,0.75,0.4,0.8,1.0,1.0,4,0.050585,unknown,14400,unknown,14400,unknown,14400,unknown,14400,timeout,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu.01034_0.038,0.04,0.75,0.4,0.8,1.0,1.0,4,0.050585,unknown,14400,unknown,14400,unknown,14400,unknown,14400,timeout,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu.01034_0.038,0.04,0.75,0.4,0.8,1.0,1.0,4,0.050585,unknown,14400,unknown,14400,unknown,14400,unknown,14400,timeout,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu.01034_0.038,0.04,0.75,0.4,0.8,1.0,1.0,4,0.050585,unknown,14400,unknown,14400,unknown,14400,unknown,14400,timeout,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu.01034_0.038,0.04,0.75,0.4,0.8,1.0,1.0,4,0.050585,unknown,14400,unknown,14400,unknown,14400,unknown,14400,timeout,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu.01034_0.038,0.04,0.75,0.4,0.8,1.0,1.0,4,0.050585,unknown,14400,unknown,14400,unknown,14400,unknown,14400,timeout,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu.01034_0.038,0.04,0.75,0.4,0.8,1.0,1.0,4,0.050585,unknown,14400,unknown,14400,unknown,14400,unknown,14400,timeout,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu.01101_0.184,0.04,0.75,0.6,0.2,0.4,0.4,1,0.026766,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
