name,neu,fc,conv,idm,ids,eps,prop,relative_loss,eran_deepzono_answer,eran_deepzono_time,eran_deeppoly_answer,eran_deeppoly_time,eran_refinezono_answer,eran_refinezono_time,eran_refinepoly_answer,eran_refinepoly_time,neurify_answer,neurify_time,planet_answer,planet_time,bab_answer,bab_time,bab_sb_answer,bab_sb_time,reluplex_answer,reluplex_time
dave_enu2_cov3_low3.01110_0.100,0.05,0.25,0.2,0.4,0.2,0.4,2,0.8891,unsat,4.71,unsat,3.36,unsat,20.75,unsat,19.88,unsat,20.27,unsat,1052.53,unsat,3871.88,unsat,4171.5,unsup,14400
dave_enu2_cov3_low3.01201_0.285,0.05,0.25,0.4,0.2,0.4,0.2,2,0.1544,unsat,16.24,unsat,4.24,unsat,243.84,unsat,215.4,unsat,33.91,unsat,14155.35,unsat,3038.99,unsat,3047.75,unsup,14400
dave_enu2_cov3_low3.02002_3.518,0.05,0.5,0.0,0.2,0.6,0.4,0,0.0128,unknown,14400,unknown,14400,memout,14400,memout,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3.02010_37.238,0.05,0.5,0.0,0.4,0.2,0.2,1,0.0065,timeout,14400,unknown,14400,timeout,14400,memout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3.02121_0.121,0.05,0.5,0.2,0.6,0.4,0.6,1,0.0187,unknown,14400,unknown,14400,error,14400,unknown,14400,sat,83.1,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.02210_0.057,0.05,0.5,0.4,0.4,0.2,0.6,0,0.0392,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.02221_0.037,0.05,0.5,0.4,0.6,0.4,0.2,0,0.0412,unknown,14400,unknown,14400,unknown,14400,unknown,14400,error,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.02221_0.093,0.05,0.5,0.4,0.6,0.4,0.6,2,0.031,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,error,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.10121_0.126,0.1,0.0,0.2,0.6,0.4,0.2,2,0.0791,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,140.58,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.10122_0.023,0.1,0.0,0.2,0.6,0.6,0.4,1,0.066,unsat,4.84,unsat,4.54,unsat,15.1,unsat,16.83,unsat,39.11,unsat,2643.98,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.10200_0.571,0.1,0.0,0.4,0.2,0.2,0.6,2,0.0284,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,114.99,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.10210_0.115,0.1,0.0,0.4,0.4,0.2,0.2,0,0.0457,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,58.63,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.10211_0.204,0.1,0.0,0.4,0.4,0.4,0.4,2,0.0438,unknown,14400,unsat,7.24,unknown,14400,unsat,80.75,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.10221_0.065,0.1,0.0,0.4,0.6,0.4,0.6,2,0.052,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,98.59,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.11001_162.096,0.1,0.25,0.0,0.2,0.4,0.6,1,0.1557,unknown,14400,unknown,14400,memout,14400,memout,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3.11002_81.850,0.1,0.25,0.0,0.2,0.6,0.2,2,8.6925,timeout,14400,unsat,27.26,memout,14400,memout,14400,unsat,200.33,unsat,2747.15,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3.11011_7.096,0.1,0.25,0.0,0.4,0.4,0.2,0,9.5498,timeout,14400,unsat,43.94,timeout,14400,memout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
